,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
518,"1 Gabriel Place, Church Road, Birmingham, B15",425000,Retirement Property,52.46661,-1.9218,2.0,2.0,
519,"Oaklands Way, Northfield, Birmingham, B31 5EA",425000,Detached,52.402393,-2.001161,4.0,2.0,
520,"Old Birmingham Road, Lickey, B45 8ES",425000,Semi-Detached,52.37215,-2.015107,3.0,1.0,
521,"Radnor Road, Handsworth",425000,Semi-Detached,52.50364,-1.91643,6.0,2.0,
522,"Hillyfields Road, Birmingham, B23",425000,Detached,52.523418,-1.866021,5.0,2.0,
523,"Estria Road, Edgbaston, Birmingham, B15",425000,House,52.466423,-1.914366,3.0,2.0,
524,"Madison Avenue, Birmingham, West Midlands, B36",425000,Semi-Detached,52.49831,-1.81185,5.0,1.0,
525,"Britwell Road, Boldmere",425000,Semi-Detached,52.54842,-1.83627,3.0,1.0,
526,"Woodlands Farm Road, Birmingham",310000,Semi-Detached,52.524986,-1.796055,3.0,1.0,
527,"Ravenhurst Road, Harborne, Birmingham, B17 9DR",425000,Terraced,52.461333,-1.954102,3.0,1.0,
528,"Bull Street, Harborne, Birmingham, B17 0HH",425000,Terraced,52.458503,-1.947051,3.0,2.0,
529,"Birmingham Road,Sutton Coldfield ,B72 1DP",425000,Semi-Detached,52.539356,-1.826774,3.0,1.0,
530,"New Road, Hollywood, Birmingham",425000,Semi-Detached,52.39807,-1.884u,3.0,1.0,
531,"Orchard Road, Birmingham, B24",425000,Terraced,52.526155,-1.831225,4.0,1.0,
532,"Addison Road, Kings Heath, Birmingham, B14",425000,Terraced,52.43116,-1.88715,5.0,1.0,
533,"Tetley Road, Birmingham",425000,Semi-Detached,52.44451,-1.84916,5.0,1.0,
534,"East Works Drive, Cofton Hackett, B45 8GX",425000,Semi-Detached,52.38231,-1.98688,4.0,,
535,"Northcroft Way, Birmingham, B23",425000,Link Detached House,52.521745,-1.854603,5.0,2.0,
536,"Hallot Close, Birmingham, B23 5YW",425000,Detached,52.54033,-1.853835,4.0,3.0,
537,"Barnsbury Avenue, Sutton Coldfield",425000,Semi-Detached Bungalow,52.53287,-1.82156,4.0,1.0,
538,"Heathfield Road, Kings Heath, Birmingham",425000,Terraced,52.434719,-1.889386,4.0,2.0,
539,89 Ravenhurst Road,425000,Terraced,52.461559,-1.954088,3.0,1.0,947 sq. ft.
540,"Station Road, Birmingham, B33",425000,Semi-Detached,52.480809,-1.808505,6.0,4.0,
541,"Charlotte Street, Birmingham, West Midlands, B3",425000,Flat,52.484168,-1.905891,2.0,2.0,
542,"Citygreens, Sheldon, Birmingham",422000,Penthouse,52.45381,-1.788908,3.0,2.0,
543,"Snow Hill Wharf, Shadwell Street, Birmingham, B4",420000,Apartment,52.48412,-1.89585,2.0,2.0,695 sq. ft.
544,"Pershore Road, Selly Park, Birmingham, West Midlands, B29",420000,Bungalow,52.438629,-1.91656,3.0,1.0,
545,"Greenfield Road, Harborne, Birmingham",420000,Apartment,52.45781,-1.94639,3.0,1.0,
546,"Fugelmere Close, Harborne, Birmingham",420000,End of Terrace,52.46447,-1.97332,3.0,1.0,
547,"Alcester Drive, Sutton Coldfield, B73 6PY",415000,Detached,52.555321,-1.859528,4.0,1.0,
548,"Sandhurst Avenue, Birmingham, West Midlands, B36",415000,Semi-Detached,52.498018,-1.814247,3.0,1.0,
549,"1 - 4 Great Hampton Street, Birmingham, B18 6AQ",415000,Apartment,52.48907,-1.90747,2.0,2.0,834 sq. ft.
550,"Greenside Road, Erdington",415000,Detached,52.52799,-1.82293,3.0,1.0,
551,"Moorcroft Road, Birmingham, West Midlands, B13",950000,Detached,52.44726,-1.89755,4.0,3.0,
552,"Snow Hill Wharf, Shadwell Street, Birmingham, B4",415000,Apartment,52.48412,-1.89585,2.0,2.0,770 sq. ft.
553,"Coventry Road, Sheldon, Birmingham",415000,Semi-Detached,52.451301,-1.766932,4.0,2.0,
554,"Belgravia Close, Edgbaston, B5",415000,Terraced,52.464882,-1.89649,3.0,1.0,
555,Reliance Works,410000,Apartment,52.48692,-1.90865,2.0,2.0,"1,136 sq. ft."
556,"Snow Hill Wharf, Shadwell Street, Birmingham, B4",410000,Apartment,52.48412,-1.89585,2.0,2.0,758 sq. ft.
557,"1 - 4 Great Hampton Street, Birmingham, B18 6AQ",410000,Apartment,52.48907,-1.90747,2.0,2.0,836 sq. ft.
558,"Colomore Building, Snow Hill Wharf, Birmingham, B4",410000,Flat,52.48709,-1.89717,2.0,2.0,687 sq. ft.
559,Princip Luxury Apartments,410000,Apartment,52.48709,-1.89717,2.0,2.0,693 sq. ft.
560,"Lickey Coppice, Cofton Hackett, Birmingham, Worcestershire, B45",410000,Detached,52.379481,-2.000543,3.0,2.0,
561,"Morjon Drive, Birmingham",407000,Semi-Detached,52.54941,-1.93286,4.0,1.0,
562,"1 - 4 Great Hampton Street, Birmingham, B18 6AQ",405000,Apartment,52.48907,-1.90747,2.0,1.0,747 sq. ft.
563,"The Regent, Snow Hill Wharf, Shadwell Street, Birmingham, B4",405000,Apartment,52.486601,-1.897917,2.0,2.0,
564,"Snow Hill Wharf, Shadewell Street, Birmingham, B4 6LL",402500,Apartment,52.48709,-1.89717,2.0,2.0,757 sq. ft.
565,"Yew Tree Avenue, Birmingham, B26",400000,Semi-Detached,52.466203,-1.806616,4.0,3.0,
566,"Castle Crescent, Birmingham",400000,Detached,52.50688,-1.77896,3.0,2.0,
567,"Springbank Road, Edgbaston",400000,Semi-Detached,52.465496,-1.9057,3.0,2.0,
568,"Florence Road, Sutton Coldfield",400000,Semi-Detached,52.534698,-1.830379,4.0,2.0,
569,"Hillcrest Road, Birmingham",400000,Detached,52.55067,-1.93846,4.0,2.0,
570,"Northfield Road, Harborne, Birmingham",400000,End of Terrace,52.453899,-1.966079,4.0,,
571,"The Lightwell, Cornwall Street, Birmingham B3",400000,Apartment,52.482293,-1.902428,2.0,2.0,
572,"Coventry Road, Sheldon, Birmingham, B26",400000,Semi-Detached,52.452069,-1.771673,5.0,5.0,
573,"Shaftmoor Lane, Hall Green, Birmingham",400000,Semi-Detached,52.44513,-1.83915,3.0,3.0,
574,"Snow Hill Wharf, Shadwell Street, Birmingham, B4",400000,Apartment,52.48412,-1.89585,2.0,2.0,866 sq. ft.
575,"Clapgate Lane, Birmingham",365000,Semi-Detached,52.44191,-1.99113,4.0,2.0,
576,"Poplar Avenue, Edgbaston, Birmingham",400000,Terraced,52.478664,-1.963084,4.0,2.0,
577,"Common Lane, Sheldon, Birmingham",400000,Detached Bungalow,52.45852,-1.78229,4.0,1.0,
578,"Links Road, Birmingham, West Midlands, B14",400000,Bungalow,52.400454,-1.881,2.0,1.0,
579,"Robin Hood Lane, Hall Green",400000,Terraced,52.4259,-1.85054,4.0,2.0,
580,"Rotton Park Road, Edgbaston, B16 0TF",400000,Semi-Detached,52.480873,-1.946472,5.0,2.0,
581,"Bradford Road, Castle Bromwich",400000,Bungalow,52.50157,-1.77722,3.0,1.0,
582,"Ipstones Avenue, Birmingham",400000,End of Terrace,52.4866,-1.80174,5.0,2.0,
583,"Poundley Close, Birmingham, B36",400000,Detached,52.505855,-1.776673,3.0,2.0,
584,"Longleat Avenue, Birmingham, B15 2DF",400000,Mews,52.471924,-1.910178,3.0,,
585,"St. Peters Close, Water Orton, Birmingham",400000,Detached,52.514572,-1.737673,4.0,1.0,
586,"Knipersley Road, Sutton Coldfield",400000,Semi-Detached,52.53466,-1.8344,3.0,1.0,
587,"Lickey Coppice, Birmingham",400000,Detached,52.379478,-2.000543,3.0,1.0,
588,"Coventry Road, Sheldon, Birmingham, West Midlands",400000,Semi-Detached,52.452068,-1.771673,5.0,5.0,
589,"Newman Drive, Cofton Hackett, Birmingham",400000,Detached,52.37862,-1.98585,4.0,1.0,
590,"King Edward Road, Moseley, Birmingham",400000,Terraced,52.447109,-1.887244,3.0,2.0,
591,"Springbank Road, Edgbaston",400000,Semi-Detached,52.46589,-1.905826,3.0,1.0,
592,"Chester Road, Erdington, Birmingham, B24 0BS",400000,Semi-Detached,52.529114,-1.817277,3.0,1.0,
593,"40 -44 Northwood Street, Jewellery Quarter, Birmingham",400000,Apartment,52.486583,-1.906643,2.0,2.0,775 sq. ft.
594,"Heaton House, Camden Street, Birmingham B1",400000,Penthouse,52.484382,-1.916344,2.0,2.0,
595,"Oxford Road, Acocks Green, Birmingham",400000,Semi-Detached,52.446498,-1.817479,4.0,2.0,
596,"Peplins Way, Birmingham, B30",400000,Detached,52.410769,-1.916858,4.0,2.0,
597,"Central Birmingham Apartment, Birmingham",400000,Apartment,52.48789,-1.89599,2.0,2.0,
598,"Frederick Road, Sutton Coldfield, B73 5QN",400000,Detached Bungalow,52.54818,-1.832701,2.0,1.0,
599,"St. Annes Close, Handsworth Wood, Birmingham, B20 1BS",400000,Detached,52.522606,-1.927989,3.0,1.0,
600,"Alben Works Legge Lane, Birmingham B1",850000,Town House,52.484211,-1.913817,3.0,3.0,
601,"Vaughton Street, Birmingham",400000,Semi-Detached,52.46847,-1.88985,6.0,2.0,
602,"Queens Road, Yardley, Birmingham",400000,Semi-Detached,52.47653,-1.79722,5.0,2.0,
603,"Rednal Hill Lane, Rednal, Birmingham, Worcestershire, B45",400000,Semi-Detached,52.38778,-2.014721,4.0,1.0,
604,"Binley Close, Birmingham, B25",400000,Detached,52.45974,-1.81319,4.0,2.0,
605,"Shaftmoor Lane, Hall Green, Birmingham, West Midlands, B28 8SW",400000,End of Terrace,52.44513,-1.83915,3.0,,
606,"Weston Road, Bearwood, Birmingham, B67 5HH",399950,Detached,52.476826,-1.973904,4.0,,
607,"Mimosa Close, Selly Oak, Birmingham, West Midlands, B29 4DA",399950,Semi-Detached,52.43149,-1.959876,3.0,,
608,"Trinity Road, Birmingham",399950,Semi-Detached,52.508419,-1.902263,7.0,3.0,
609,"Grosvenor Road, Harborne, Birmingham, B17 9AN",399950,Terraced,52.460536,-1.968123,3.0,1.0,
610,"Weston Road, SMETHWICK",399950,Detached,52.47643,-1.97449,4.0,2.0,
611,"Barrows Lane, Yardley, Birmingham",399950,Semi-Detached,52.46583,-1.7986,3.0,1.0,
612,"Grove Lane, Handsworth, Birmingham",399950,House,52.504852,-1.93282,6.0,4.0,
613,"Ashted Wharf, Glasswater Locks, B4 7RQ",399950,Apartment,52.484637,-1.881927,2.0,2.0,675 sq. ft.
614,"Dudley Road, Winson Green, Birmingham, B18 4HL",399950,Terraced,52.48622,-1.94208,5.0,2.0,
615,"Moor Pool Avenue, Birmingham",399950,House,52.46228,-1.954298,2.0,1.0,
616,"The Smithy, Sheldon, Birmingham",399950,Detached,52.45942,-1.78023,4.0,2.0,
617,"Ashted Wharf, Glasswater Locks, Belmont Row, Birmingham B4",399950,Apartment,52.48393,-1.88201,2.0,2.0,684 sq. ft.
618,"Scholars Gate, Birmingham, B1",399900,Duplex,52.475937,-1.903502,2.0,3.0,
619,"The Lancaster, Snow Hill Wharf, B4 6LJ",399500,Apartment,52.4871,-1.89831,2.0,2.0,756 sq. ft.
620,"The Copperworks, Birmingham",399000,Apartment,52.4853,-1.91764,2.0,2.0,952 sq. ft.
621,"Regent Place, Birmingham, B1",399000,Apartment,52.48602,-1.90969,2.0,,
622,"The Copperworks, Camden Street",399000,Apartment,52.48449,-1.91352,2.0,2.0,952 sq. ft.
623,"Hurst Street, Birmingham, B5",398000,Flat,52.47306,-1.89514,2.0,2.0,
624,"The Copperworks, Flat 1, 48 Camden Street, Birmingham B1 3DP",397500,Apartment,52.483367,-1.913024,2.0,2.0,
625,"Alcester Street, Birmingham, B12",92950,Studio,52.47143,-1.88439,,,
626,"The Copperworks, Birmingham",397500,Apartment,52.48602,-1.90969,2.0,2.0,"1,065 sq. ft."
627,"The Copperworks, Camden Street",397500,Apartment,52.48449,-1.91352,2.0,2.0,"1,065 sq. ft."
628,"Denewood Avenue, Handsworth Wood, West Midlands, B20",395000,Semi-Detached,52.514809,-1.920559,5.0,2.0,
629,"Springfield Road, Moseley",395000,Semi-Detached,52.442531,-1.858803,4.0,1.0,
630,"Coventry Road, Birmingham, B26",395000,Semi-Detached,52.459655,-1.80072,4.0,1.0,
631,"Snow Hill Wharf, Shadewell Street, Birmingham, B4 6LL",395000,Apartment,52.48709,-1.89717,2.0,2.0,757 sq. ft.
632,"Mill Close, Hollywood, Birmingham",395000,Bungalow,52.393283,-1.882216,4.0,2.0,
633,"Bell Lane, Birmingham, B33",395000,Detached Bungalow,52.473515,-1.761188,2.0,1.0,
634,"Birmingham Road, Great Barr, Birmingham B43 6NX",395000,Detached,52.548592,-1.935025,4.0,1.0,
635,"South Street, Birmingham, West Midlands, B17 0DB",395000,Terraced,52.458358,-1.948177,2.0,1.0,101 sq. ft.
636,"Pale Lane, Birmingham",395000,End of Terrace,52.46951,-1.97243,3.0,1.0,
637,"Great Charles Street Queensway, Birmingham",395000,Apartment,52.48161,-1.90513,2.0,2.0,785 sq. ft.
638,"Mary Vale Road, Bournville, Birmingham, B30",395000,Terraced,52.425989,-1.927861,4.0,2.0,
639,"Kingsbury Road, Erdington, Birmingham, B24 8QY",395000,Semi-Detached,52.515671,-1.841161,4.0,1.0,
640,"School Road, Moseley, Birmingham, West Midlands, B13",395000,End of Terrace,52.437328,-1.888225,3.0,1.0,
641,The Pressworks,395000,Apartment,52.487o,-1.90674u,2.0,2.0,787 sq. ft.
642,"Walsall Road, Birmingham, B42",395000,Semi-Detached,52.531549,-1.914481,4.0,2.0,
643,"Avro Street, Cofton Hackett, Birmingham",390000,Semi-Detached,52.37781,-1.98512,4.0,1.0,
644,"58 Beeches Drive, Birmingham, B24 0DT",390000,Semi-Detached,52.526402,-1.818197,3.0,1.0,
645,"St. Denis Road, Birmingham, West Midlands, B29",390000,Semi-Detached,52.425715,-1.966456,4.0,1.0,
646,"Coopers Road, Handsworth Wood, Birmingham, B20 2JS",390000,Semi-Detached,52.520241,-1.925267,5.0,2.0,
647,"Waterloo Road, Birmingham",390000,Apartment,52.461013,-1.823501,3.0,2.0,
648,"The Regent, Snow Hill Wharf, Shadwell Street, Birmingham, B4",390000,Apartment,52.48709,-1.89717,2.0,2.0,
649,"Dawlish Road, Birmingham",390000,House,52.444686,-1.931697,4.0,1.0,
650,"Petersham Place, Richmond Hill Road, Edgbaston B15 3RY",599000,Ground Flat,52.460492,-1.935876,3.0,3.0,"1,707 sq. ft."
651,"Rotton Park Road, Edgbaston",390000,Semi-Detached,52.479209,-1.947073,6.0,3.0,
652,"Priory House, Gooch Street North",390000,Apartment,52.47117,-1.89647,2.0,2.0,
653,"Chantry Close, Hollywood",390000,Detached Bungalow,52.392654,-1.882787,4.0,1.0,
654,"Chapel Rise, Rednal , Birmingham. B45 9SN",390000,Detached,52.398945,-2.01261,4.0,2.0,
655,"Hazel Road, Rubery",390000,Bungalow,52.387909,-2.021408,2.0,1.0,
656,"Avro Street, Cofton Hackett, Birmingham, B45",390000,House,52.37781,-1.98512,4.0,2.0,
657,"Victoria Works, Birmingham",390000,Apartment,52.48476,-1.91116,2.0,2.0,
658,"Shaftmoor Lane, Hall Green, West Midlands, B28 8SN",389995,Semi-Detached,52.44171,-1.84063,4.0,,
659,"Madison Walk, Birmingham, B15",385000,Terraced,52.4683,-1.90413,3.0,3.0,
660,"Chester Road, Erdington",385000,Detached,52.53024,-1.8238,3.0,2.0,
661,"Queens Road, Birmingham, B26",385000,Semi-Detached,52.474986,-1.798061,3.0,2.0,
662,"The Quadrant, Sand Pits",385000,Apartment,52.48225,-1.91514,2.0,1.0,
663,"The Pressworks, Northwood Street, Jewellery Quarter, Birmingham",385000,Apartment,52.48566,-1.90866,2.0,2.0,
664,"West Avenue, Handsworth, Birmingham",385000,Semi-Detached,52.52244,-1.92612,3.0,1.0,
665,"Arlen Drive, Great Barr, Birmingham",385000,Detached Bungalow,52.544361,-1.947047,2.0,1.0,
666,"Verbena Road, Bournville Village Trust, Northfield, Birmingham, B31",385000,Semi-Detached,52.423251,-1.974501,4.0,2.0,
667,"B1 City Centre, Birmingham",385000,Apartment,52.48341,-1.91146,2.0,2.0,
668,"West Avenue, Handsworth Wood",385000,Semi-Detached,52.52244,-1.92612,3.0,1.0,
669,"Apartment 25, Treasure House, Carver Street, B1 3EG",383824,Duplex,52.48602,-1.91499,2.0,2.0,"1,044 sq. ft."
670,"Snow Hill Wharf, Shadwell Street, Birmingham, B4 6LJ",382500,Apartment,52.48709,-1.89717,2.0,2.0,851 sq. ft.
671,"Snow Hill Wharf, Shadewell Street, Birmingham, B4 6LJ",382500,Apartment,52.48709,-1.89717,2.0,2.0,851 sq. ft.
672,"B4 Fully Managed Apartments, Birmingham",381000,Apartment,52.48789,-1.89481,2.0,2.0,
673,"Alexander Road, Birmingham, B27",380000,Terraced,52.452602,-1.826395,5.0,2.0,
674,"Groveley Lane, Birmingham, B31",380000,Semi-Detached,52.3877,-1.98218,4.0,3.0,
675,"Tower One, Sheepcote Street, B16",187000,Apartment,52.47613,-1.91412,1.0,1.0,
676,"Groveley Lane, Birmingham, B31",380000,Semi-Detached,52.3877,-1.98218,4.0,3.0,
677,"Katie Road, Birmingham, B29",380000,End of Terrace,52.43821,-1.9392,4.0,2.0,"1,184 sq. ft."
678,"Hamstead Road, Hockley",380000,Terraced,52.49969,-1.91864,6.0,2.0,
679,"Ascot Way, Longbridge, Birmingham",380000,End of Terrace,52.391594,-1.985326,4.0,3.0,
680,"Douglas Avenue, Birmingham",380000,Detached,52.49714,-1.81407,3.0,1.0,
681,"Sycamore Road, Erdington, Birmingham, B23 5QP.",380000,Detached,52.539669,-1.845468,3.0,3.0,
682,"Brandwood Road, Kings Heath",380000,Semi-Detached,52.420906,-1.899204,4.0,1.0,
683,"Lawrence Walk, Great Barr, Birmingham, B43 7TU",380000,Detached,52.56043,-1.900629,5.0,1.0,
684,"Booths Farm Close, Great Barr, Birmingham B42 2DY",380000,Detached,52.544399,-1.911557,3.0,2.0,
685,"Wharfside Street, Birmingham",380000,Apartment,52.475925,-1.905804,2.0,2.0,
686,"City Road, Birmingham",380000,Semi-Detached,52.48559,-1.94208,4.0,2.0,
687,"King Edwards Wharf, Sheepcote Street B16",380000,Apartment,52.47874,-1.91957,2.0,2.0,841 sq. ft.
688,"Jill Avenue, Great Barr, Birmingham B43 6DH",380000,Detached Bungalow,52.544121,-1.953685,3.0,2.0,
689,"Fox Hollies Road, Hall Green",380000,Semi-Detached,52.43093,-1.84155,3.0,2.0,
690,"Westridge Road, Birmingham",380000,Semi-Detached,52.42772,-1.86451,4.0,2.0,
691,"Lawrence Walk, Birmingham",380000,Detached,52.56063,-1.90068,5.0,1.0,
692,"Meadow Brook Road, Birmingham, B31",379999,Semi-Detached,52.42233,-1.970187,4.0,1.0,
693,"The Lightwell, Cornwall Street",379950,Apartment,52.48233,-1.90233,2.0,1.0,
694,"B1 City Centre, Birmingham",379950,Apartment,52.48341,-1.91146,2.0,2.0,
695,"B4 Fully Managed Apartments, Birmingham",379500,Apartment,52.48789,-1.89481,2.0,1.0,
696,"Windmill Street, Birmingham, B1",378700,Apartment,52.4737,-1.9025u,2.0,,
697,"The Axium, Windmill Street, Birmingham",376000,Flat,52.473869,-1.901364,2.0,2.0,
698,"Fairway Drive, Rednal, Birmingham, Worcestershire, B45",375000,Semi-Detached,52.386162,-2.016867,3.0,1.0,
699,"Beetham Tower, 10 Holloway Circus Queensway, Birmingham, B1 1BY",375000,Apartment,52.4754,-1.90028,3.0,2.0,"1,250 sq. ft."
700,"Marine Drive, Great Barr, Birmingham, B44",275000,Bungalow,52.531134,-1.893761,2.0,1.0,
701,"Poplar Avenue, Edgbaston, Birmingham, West Midlands, B17",375000,Detached,52.476362,-1.965693,4.0,1.0,
702,"Vicarage Road, Kings Heath, Birmingham, West Midlands, B14",375000,Link Detached House,52.430177,-1.898867,3.0,1.0,
703,"Measham Grove, Birmingham, B26",375000,Semi-Detached,52.455042,-1.806337,5.0,2.0,
704,"Malvern Road, Lickey, B45 8EX",375000,Bungalow,52.371559,-2.014879,2.0,1.0,833 sq. ft.
705,"Colebourne Road, Birmingham, B13",375000,Semi-Detached,52.42457,-1.86069,4.0,1.0,
706,"Radstock Avenue, Birmingham",375000,Semi-Detached,52.49985,-1.82127,3.0,1.0,
707,"Chains Court, Audley St George''s Place",375000,Apartment,52.46661,-1.9218,2.0,2.0,
708,"Vicarage Road, Kings Heath, Birmingham",375000,Terraced,52.431488,-1.896772,3.0,1.0,
709,"Montague Road, Smethwick",375000,Detached,52.48613,-1.95519,4.0,1.0,
710,"The Copperworks, Birmingham",375000,Apartment,52.4844,-1.90969,2.0,2.0,925 sq. ft.
711,"Carless Avenue, Birmingham",375000,Town House,52.463035,-1.957635,2.0,1.0,
712,"Waddington Avenue, Great Barr, Birmingham",375000,Semi-Detached,52.544395,-1.940354,5.0,1.0,
713,"Heeley Road, Birmingham",375000,House,52.43753,-1.930224,4.0,1.0,
714,"Hunstanton Avenue, Birmingham, B17",375000,Terraced,52.468179,-1.97257,3.0,1.0,
715,"Hunton Road, Birmingham, B23",375000,Semi-Detached,52.51796,-1.852u,5.0,3.0,
716,"Berwood Farm Road, Sutton Coldfield",375000,Semi-Detached Bungalow,52.533451,-1.821406,3.0,1.0,
717,"King Edwards Wharf, 25 Sheepcote Street",375000,Apartment,52.47847,-1.91795,2.0,2.0,
718,"Kingfisher Close, Birmingham, West Midlands, B26",375000,Detached,52.460632,-1.791133,4.0,2.0,
719,"St Martins Place, Broad Street B15",375000,Apartment,52.47344,-1.91663,2.0,,755 sq. ft.
720,"The Circle, Harborne",375000,Terraced,52.463039,-1.956544,2.0,1.0,
721,"Paradise Lane, Birmingham",375000,Detached,52.42537,-1.85334,3.0,1.0,
722,"Tennal Road, Harborne, Birmingham",375000,Semi-Detached,52.4589,-1.97582,3.0,1.0,
723,"The Mailbox, Wharfside Street, Birmingham, B1",375000,Flat,52.475927,-1.905378,2.0,2.0,
724,"Wheelwright Road, Birmingham",375000,End of Terrace,52.5131,-1.84863,4.0,3.0,
725,"Clapgate Lane, Birmingham",365000,Semi-Detached,52.44191,-1.99113,4.0,2.0,
726,"Poplar Avenue, Edgbaston, Birmingham, West Midlands, B17",375000,Semi-Detached,52.476868,-1.964453,4.0,,
727,"Mariner Avenue, Edgbaston, Birmingham",375000,Semi-Detached,52.475619,-1.937351,5.0,4.0,
728,"The Copperworks, Birmingham",375000,Apartment,52.4853,-1.91764,2.0,2.0,925 sq. ft.
729,"Ridgacre Road, Quinton",375000,Detached,52.460704,-1.987921,3.0,1.0,
730,"Wheelwright Road, Erdington, Birmingham, B24 8PA",375000,Semi-Detached,52.513012,-1.848332,4.0,3.0,
731,"Longbridge Lane, Birmingham, B31",375000,Semi-Detached,52.393814,-1.973275,3.0,1.0,
732,"Laburnum Grove, Moseley, Birmingham, B13",375000,Terraced,52.447642,-1.885428,2.0,2.0,
733,"Tenby Street, Birmingham",375000,Town House,52.48575,-1.91351,1.0,2.0,
734,"Tenby Street, Birmingham",375000,Town House,52.48575,-1.91351,1.0,2.0,
735,"Erdington, B23",375000,Town House,52.522241,-1.854371,5.0,2.0,
736,"Cubley Road, Birmingham",375000,Detached,52.43822,-1.85227,3.0,2.0,
737,"Chatsworth Avenue, Great Barr, Birmingham",375000,Town House,52.546501,-1.952739,4.0,2.0,
738,"St Martins Place, Broad Street B15",375000,Apartment,52.47344,-1.91663,2.0,2.0,720 sq. ft.
739,"Wolverhampton Road South, Quinton, Birmingham, West Midlands, B32",375000,Semi-Detached,52.463891,-1.983999,3.0,2.0,
740,"Fox Hollies Road, Birmingham, B27",375000,Semi-Detached,52.441598,-1.833579,3.0,2.0,
741,"Chatsworth Avenue, Great Barr , Birmingham, B43",374950,Semi-Detached,52.547123,-1.951656,4.0,1.0,
742,"Chatsworth Avenue, Great Barr, Birmingham B43 6QL",374950,Semi-Detached,52.547108,-1.951662,4.0,1.0,
743,"East Works Drive, Cofton Hackett, B45 8GX",373995,Semi-Detached,52.38231,-1.98688,3.0,,
744,"B4 Fully Managed Apartments, Birmingham",373380,Apartment,52.48789,-1.89481,2.0,1.0,
745,"B1 City Centre, Birmingham",372950,Apartment,52.48341,-1.91146,2.0,2.0,
746,"Birchfield Road, Lozells, West Midlands, B19",370000,Terraced,52.505749,-1.901762,7.0,2.0,
747,"Central Birmingham Apartment, Birmingham",370000,Apartment,52.48789,-1.89599,2.0,2.0,
748,"Wilmington Road,Quinton,Birmingham,B32 1DZ",370000,Semi-Detached,52.459885,-2.005004,4.0,2.0,
749,"Wilmington Road, Quinton",370000,Semi-Detached,52.46019,-2.004783,4.0,2.0,
