,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
90,"Victoria Road, Stechford, Birmingham",800000,Detached,52.48366,-1.81221,7.0,5.0,
91,"Lea End Lane, Hopwood, Alvechurch, B48 7AX",799999,Semi-Detached,52.378223,-1.946376,4.0,4.0,"2,691 sq. ft."
92,"Selly Park Road, Selly Park, Birmingham, B29 7LH",799950,Detached,52.442396,-1.922029,5.0,1.0,
93,"Alben Works, Legge Lane, Birmingham B1",799950,Town House,52.484211,-1.913817,3.0,3.0,
94,"Alben Works, 1+2 Legge Lane",799950,Town House,52.4844,-1.91337,3.0,3.0,"1,656 sq. ft."
95,"Lordswood Road, Harborne, Birmingham, B17 9BP",795000,Semi-Detached,52.46425,-1.965528,4.0,3.0,
96,"King Edwards Wharf, Birmingham",795000,Apartment,52.47847,-1.91795,3.0,2.0,
97,"Cofton Church Lane, Cofton Hackett, Birmingham, Worcestershire, B45",795000,Detached,52.372236,-1.992757,4.0,3.0,
98,"Lea End Lane, Hopwood, Alvechurch",780000,Character Property,52.375095,-1.938408,3.0,3.0,
99,"Lea End Lane, Hopwood, Alvechurch",780000,Character Property,52.375095,-1.938408,3.0,3.0,
100,"Alcester Street, Birmingham, B12",92950,Studio,52.47143,-1.88439,,,
101,"Vesey Road, Sutton Coldfield, West Midlands",775000,Link Detached House,52.548114,-1.826414,6.0,3.0,
102,"Hollywood Drive, Hollywood",775000,House,52.395942,-1.879107,5.0,3.0,
103,"Portland Road, Birmingham, B16",775000,Semi-Detached,52.47381,-1.94107,5.0,,
104,"Houndsfield Lane, Birmingham, B47",775000,Detached,52.385104,-1.873879,5.0,4.0,
105,"Grimpits Lane, Birmingham",775000,Detached,52.391265,-1.921708,4.0,1.0,
106,"1 - 4 Great Hampton Street, Birmingham, B18 6AQ",769000,Apartment,52.48907,-1.90747,2.0,2.0,"1,506 sq. ft."
107,"Goldieslie Road, Boldmere",760000,Detached,52.55003,-1.82977,4.0,1.0,
108,"Ethel Road, Harborne, Birmingham, B17 0EL",755000,Terraced,52.456818,-1.950075,4.0,2.0,
109,"Yew Tree Road, Edgbaston",750000,Semi-Detached,52.469909,-1.912825,5.0,2.0,
110,"Crosbie Road, Harborne, B17",750000,House,52.460834,-1.960888,4.0,1.0,
111,"Carisbrooke Road, Edgbaston, Birmingham",750000,Detached,52.474689,-1.959504,6.0,2.0,
112,"Hazeley Close, Harborne, Birmingham",750000,Detached,52.465007,-1.972381,4.0,4.0,
113,"Stechford Road, Birmingham",750000,Semi-Detached,52.495686,-1.805691,7.0,4.0,
114,"Middleton Hall Road, Kings Norton, Birmingham, B30",750000,Detached,52.415249,-1.936097,6.0,2.0,
